timestamp,instance,config_hash,solver,valid_cut_type,add_soc_cuts,random_seed,iteration,block_id,n_original,true_min_eigenvalue,master_objective,master_solve_time,separation_time,num_cuts_added_this_iter,is_psd
1784697099.4939718,control6,ab9d8392d9,MOSEK,linear,False,42,85,0,60,-0.04224497928942333,744.3249993396071,28.78900933265686,0.0010001659393310547,29,False
1784697099.4998922,control6,ab9d8392d9,MOSEK,linear,False,42,85,1,30,-10.053681629017559,744.3249993396071,28.78900933265686,0.0010533332824707031,10,False
1784697130.2057118,control6,ab9d8392d9,MOSEK,linear,False,42,86,0,60,-0.04184254354532425,742.370576956904,30.59620761871338,0.0009999275207519531,29,False
1784697130.210419,control6,ab9d8392d9,MOSEK,linear,False,42,86,1,30,-10.900265120713517,742.370576956904,30.59620761871338,0.0,11,False
1784697158.1253297,control6,ab9d8392d9,MOSEK,linear,False,42,87,0,60,-0.04408244558123418,740.7930089321235,27.787452220916748,0.001018524169921875,29,False
1784697158.1316185,control6,ab9d8392d9,MOSEK,linear,False,42,87,1,30,-10.567683277110598,740.7930089321235,27.787452220916748,0.0,11,False
1784697200.8036277,control6,ab9d8392d9,MOSEK,linear,False,42,88,0,60,-0.04476707861132638,739.2364956901987,42.54630756378174,0.0012187957763671875,28,False
1784697200.8082123,control6,ab9d8392d9,MOSEK,linear,False,42,88,1,30,-10.862636402107096,739.2364956901987,42.54630756378174,0.0009484291076660156,10,False
1784697232.8138776,control6,ab9d8392d9,MOSEK,linear,False,42,89,0,60,-0.0432906058773156,737.5151725255184,31.888487339019775,0.0009999275207519531,30,False
1784697232.818169,control6,ab9d8392d9,MOSEK,linear,False,42,89,1,30,-9.38079121636898,737.5151725255184,31.888487339019775,0.0010068416595458984,10,False
1784697255.6874428,control6,ab9d8392d9,MOSEK,linear,False,42,90,0,60,-0.04093817832032356,735.8211079857565,22.739734172821045,0.0010063648223876953,30,False
1784697255.6940846,control6,ab9d8392d9,MOSEK,linear,False,42,90,1,30,-10.371825465878626,735.8211079857565,22.739734172821045,0.0010745525360107422,10,False
1784697281.7514093,control6,ab9d8392d9,MOSEK,linear,False,42,91,0,60,-0.03976906774154206,734.21705338238,25.919375896453857,0.0009951591491699219,29,False
